experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,295.926,1038.663,1988.4,12.75,78.936,0.2685,0.1844
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,578.573,175.86,263.141,13.354,75.207,0.2602,0.1206
exp09-bf16-dflash,harness-v0.4.8,c8_ctx16384,576.426,399.441,802.249,13.327,75.481,0.2444,0.1424
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,532.145,666.619,1523.326,13.685,78.814,0.2402,0.1556
exp09-bf16-dflash,harness-v0.4.8,c8_ctx65536,538.622,925.153,2129.967,13.537,76.857,0.2996,0.1782
exp09-bf16-dflash,harness-v0.4.8,c8_ctx134144,467.175,1907.125,3779.188,16.175,62.839,0.2322,0.2521
exp09-bf16-dflash,harness-v0.4.8,c16_ctx0,878.049,228.324,288.734,17.937,55.954,0.1805,0.2567
exp09-bf16-dflash,harness-v0.4.8,c16_ctx16384,854.894,781.958,1614.239,18.295,54.824,0.1809,0.2754
exp09-bf16-dflash,harness-v0.4.8,c16_ctx32768,824.96,1588.02,3032.292,18.947,53.049,0.1949,0.2902
exp09-bf16-dflash,harness-v0.4.8,c16_ctx65536,764.181,2230.767,4157.263,20.077,50.052,0.1916,0.3089
exp09-bf16-dflash,harness-v0.4.8,c16_ctx134144,662.343,4616.264,8514.874,22.234,45.328,0.2927,0.3711
exp09-bf16-dflash,harness-v0.4.8,c32_ctx0,1129.251,352.257,448.104,25.693,40.202,0.2433,0.473
exp09-bf16-dflash,harness-v0.4.8,c32_ctx16384,1073.782,1355.371,2667.07,26.677,39.329,0.2968,0.5002
exp09-bf16-dflash,harness-v0.4.8,c32_ctx32768,1021.227,3503.306,5731.438,28.226,37.27,0.2993,0.5539
exp09-bf16-dflash,harness-v0.4.8,c32_ctx65536,946.364,6338.427,7939.392,31.949,32.385,0.216,0.0
exp09-bf16-dflash,harness-v0.4.8,c32_ctx134144,800.534,14807.232,16425.203,37.776,26.817,0.2114,0.6449
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,88.459,63.827,73.432,11.083,90.807,0.1875,0.0163
exp09-bf16-dflash,harness-v0.4.8,c1_ctx16384,88.874,143.167,145.962,10.972,91.155,0.1591,0.0311
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,97.694,232.785,235.166,9.136,115.545,0.5991,0.0451
exp09-bf16-dflash,harness-v0.4.8,c1_ctx65536,91.258,291.848,294.427,10.672,94.168,0.3203,0.0762
exp09-bf16-dflash,harness-v0.4.8,c1_ctx134144,80.323,509.68,510.966,12.081,82.781,0.2292,0.1385
exp09-bf16-dflash,harness-v0.4.8,c2_ctx0,174.188,128.882,170.765,11.338,88.372,0.1621,0.0327
exp09-bf16-dflash,harness-v0.4.8,c2_ctx16384,179.5,212.007,278.321,10.961,91.44,0.1976,0.0475
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,169.133,310.298,428.009,11.623,86.411,0.2077,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,164.435,410.139,564.159,11.815,84.762,0.1229,0.0918
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,155.974,693.656,981.076,12.266,81.756,0.1401,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,327.377,125.841,140.368,12.006,83.629,0.1812,0.0622
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,326.04,281.314,452.341,11.999,83.615,0.2375,0.0778
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,315.855,398.783,756.611,12.261,82.149,0.2629,0.0949
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,328.601,541.155,1025.923,11.648,95.137,0.2981,0.1214
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,298.611,1012.145,1892.423,12.69,79.211,0.2465,0.1852
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,582.61,163.039,206.582,13.193,76.444,0.2639,0.1206
exp09-bf16-dflash,harness-v0.4.8,c8_ctx16384,558.518,409.884,886.686,13.446,75.498,0.2864,0.1361
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,555.168,713.92,1554.352,13.612,74.162,0.225,0.0443
exp09-bf16-dflash,harness-v0.4.8,c8_ctx65536,523.145,970.653,2053.103,14.202,73.502,0.2212,0.0747
exp09-bf16-dflash,harness-v0.4.8,c8_ctx134144,477.249,2002.709,3919.136,16.169,62.16,0.2322,0.2521
exp09-bf16-dflash,harness-v0.4.8,c16_ctx0,893.137,244.684,331.265,17.618,56.915,0.2023,0.2598
exp09-bf16-dflash,harness-v0.4.8,c16_ctx16384,850.412,797.132,1586.777,18.346,54.765,0.207,0.277
exp09-bf16-dflash,harness-v0.4.8,c16_ctx32768,823.293,1675.903,3061.491,18.789,53.395,0.2636,0.291
exp09-bf16-dflash,harness-v0.4.8,c16_ctx65536,775.233,2228.438,4130.467,19.775,50.802,0.201,0.3089
exp09-bf16-dflash,harness-v0.4.8,c16_ctx134144,669.237,3296.077,7413.894,22.381,44.979,0.2642,0.3719
exp09-bf16-dflash,harness-v0.4.8,c32_ctx0,1122.092,369.165,489.932,25.785,39.985,0.2731,0.4746
exp09-bf16-dflash,harness-v0.4.8,c32_ctx16384,1076.073,1575.407,3083.159,26.08,40.736,0.3073,0.494
exp09-bf16-dflash,harness-v0.4.8,c32_ctx32768,1024.102,3656.674,5852.427,28.617,36.405,0.2473,0.0443
exp09-bf16-dflash,harness-v0.4.8,c32_ctx65536,924.418,6881.586,8192.567,32.46,31.62,0.213,0.0
exp09-bf16-dflash,harness-v0.4.8,c32_ctx134144,780.181,16876.396,17340.011,38.793,25.817,0.1888,0.6457
